word,lemma,pos,frequency
hasta,hasta,X,875
having,have,VERB,874
help,help,NOUN,873
plate,plate,NOUN,870
anymore,anymore,ADV,869
may,may,AUX,864
seen,see,VERB,862
telephone,telephone,NOUN,859
boys,boy,NOUN,857
window,window,NOUN,854
play,play,NOUN,853
nap,nap,NOUN,852
saying,say,VERB,850
movie,movie,NOUN,845
button,button,NOUN,843
fun,fun,ADJ,841
fly,fly,VERB,839
finish,finish,VERB,837
taking,take,VERB,836
animal,animal,NOUN,835
tv,tv,NOUN,829
pictures,picture,NOUN,829
yyy,yyy,INTJ,826
live,live,VERB,824
tiger,tiger,NOUN,820
likes,like,VERB,815
listen,listen,VERB,813
has,have,AUX,813
song,song,NOUN,811
bath,bath,NOUN,811
pieces,piece,NOUN,810
babies,baby,NOUN,807
pants,pant,NOUN,807
bread,bread,NOUN,806
candy,candy,NOUN,805
frog,frog,NOUN,803
boy,boy,INTJ,803
boom,boom,NOUN,802
lost,lose,VERB,799
after,after,SCONJ,798
puppy,puppy,NOUN,797
kitchen,kitchen,NOUN,791
inside,inside,ADV,789
sick,sick,ADJ,787
wheels,wheel,NOUN,786
circle,circle,NOUN,785
d,would,AUX,784
bye,bye,PROPN,778
before,before,SCONJ,775
friends,friend,NOUN,771
as,as,ADP,771
well,well,ADV,768
soup,soup,NOUN,767
slide,slide,NOUN,766
nathaniel,Nathaniel,PROPN,764
doctor,doctor,NOUN,763
a,a,SYM,762
oops,oops,INTJ,762
children,child,NOUN,760
cute,cute,ADJ,759
o,of,INTJ,758
crying,cry,VERB,757
bye,bye,NOUN,755
while,while,SCONJ,747
brought,bring,VERB,743
happen,happen,VERB,741
first,first,ADJ,740
poor,poor,ADJ,737
which,which,PRON,737
d,would,INTJ,736
needs,need,VERB,735
hafta,hafta,ADV,734
own,own,ADJ,730
whoops,whoops,INTJ,729
brother,brother,NOUN,728
yeh,yeh,INTJ,727
shem,Shem,PROPN,726
legs,leg,NOUN,723
recorder,recorder,NOUN,717
fine,fine,ADJ,715
wan,want,AUX,714
fingers,finger,NOUN,710
cowboy,cowboy,NOUN,709
job,job,NOUN,708
actually,actually,ADV,704
knock,knock,VERB,703
snow,snow,NOUN,701
small,small,ADJ,701
its,its,PRON,698
b,benefit,NOUN,697
flowers,flower,NOUN,697
word,word,NOUN,693
pour,pour,VERB,690
turtle,turtle,NOUN,687
uhhum,uhhum,INTJ,684
